Fund House,Scheme Type,Scheme Category,Scheme Code,Scheme Name,NAV,Date
Baroda BNP Paribas Mutual Fund,360 ONE Mutual Fund,Formerly Known as IIFL Mutual Fund,111705,Baroda BNP Paribas LIQUID FUND - Regular Plan - WEEKLY IDCW OPTION,1001.3776,14-10-2024
Baroda BNP Paribas Mutual Fund,360 ONE Mutual Fund,Formerly Known as IIFL Mutual Fund,111707,Baroda BNP Paribas LIQUID FUND - Regular Plan - DAILY IDCW OPTION,1001.1996,14-10-2024
Bank of India Mutual Fund,360 ONE Mutual Fund,Formerly Known as IIFL Mutual Fund,111708,BANK OF INDIA ELSS Tax Saver -Regular Plan-IDCW,33.29,14-10-2024
Bank of India Mutual Fund,360 ONE Mutual Fund,Formerly Known as IIFL Mutual Fund,111709,BANK OF INDIA ELSS Tax Saver -ECO Plan-Growth,186.58,14-10-2024
Bank of India Mutual Fund,360 ONE Mutual Fund,Formerly Known as IIFL Mutual Fund,111710,BANK OF INDIA ELSS Tax Saver -Regular Plan- Growth,172.82,14-10-2024
Bank of India Mutual Fund,360 ONE Mutual Fund,Formerly Known as IIFL Mutual Fund,111711,BANK OF INDIA ELSS Tax Saver -ECO Plan-IDCW,30.97,14-10-2024
Bank of India Mutual Fund,Open Ended Schemes,Debt Scheme - Medium to Long Duration Fund,111712,BANK OF INDIA Conservative Hybrid Fund-Regular Plan-Growth,33.3002,14-10-2024
Bank of India Mutual Fund,Open Ended Schemes,Debt Scheme - Medium to Long Duration Fund,111713,BANK OF INDIA Conservative Hybrid Fund-Regular Plan-Quarterly IDCW,17.7694,14-10-2024
Bank of India Mutual Fund,Open Ended Schemes,Debt Scheme - Medium to Long Duration Fund,111714,BANK OF INDIA Conservative Hybrid Fund-Regular Plan-Annual IDCW,16.1648,14-10-2024
Bank of India Mutual Fund,Open Ended Schemes,Debt Scheme - Medium to Long Duration Fund,111715,BANK OF INDIA Conservative Hybrid Fund-ECO Plan-Growth,34.3722,14-10-2024
Bank of India Mutual Fund,Open Ended Schemes,Debt Scheme - Medium to Long Duration Fund,111716,BANK OF INDIA Conservative Hybrid Fund-Regular Plan-Monthly IDCW,17.1444,14-10-2024
Bank of India Mutual Fund,Open Ended Schemes,Debt Scheme - Medium to Long Duration Fund,111717,BANK OF INDIA Conservative Hybrid Fund-ECO Plan-Monthly IDCW,26.0327,14-10-2024
Canara Robeco Mutual Fund,360 ONE Mutual Fund,Formerly Known as IIFL Mutual Fund,111722,CANARA ROBECO ELSS TAX SAVER - REGULAR PLAN - GROWTH OPTION,180.68,14-10-2024
Nippon India Mutual Fund,Open Ended Schemes,Debt Scheme - Low Duration Fund,111743,Nippon India Low Duration Fund - Retail Plan - Growth Plan -Bonus Option,2516.1449,14-10-2024
Nippon India Mutual Fund,Open Ended Schemes,Debt Scheme - Low Duration Fund,111744,NIPPON INDIA LOW DURATION FUND - RETAIL Plan - DAILY IDCW Option,1011.7211,14-10-2024
Nippon India Mutual Fund,Open Ended Schemes,Debt Scheme - Low Duration Fund,111745,NIPPON INDIA LOW DURATION FUND - RETAIL Plan - WEEKLY IDCW Option,1012.8774,14-10-2024
Nippon India Mutual Fund,Open Ended Schemes,Debt Scheme - Low Duration Fund,111746,Nippon India Low Duration Fund -Growth Plan -Bonus Option,2062.1725,14-10-2024
Nippon India Mutual Fund,Open Ended Schemes,Debt Scheme - Low Duration Fund,111747,NIPPON INDIA LOW DURATION FUND - DAILY IDCW Option,1011.7219,14-10-2024
Nippon India Mutual Fund,Open Ended Schemes,Debt Scheme - Low Duration Fund,111748,Nippon India Low Duration Fund - Retail Plan - Growth Plan - Growth Option,3376.747,14-10-2024
Nippon India Mutual Fund,Open Ended Schemes,Debt Scheme - Low Duration Fund,111749,NIPPON INDIA LOW DURATION FUND - MONTHLY IDCW Option,1033.4518,14-10-2024
Nippon India Mutual Fund,Open Ended Schemes,Debt Scheme - Low Duration Fund,111750,NIPPON INDIA LOW DURATION FUND - QUARTERLY IDCW Option,1018.8889,14-10-2024
Nippon India Mutual Fund,Open Ended Schemes,Debt Scheme - Low Duration Fund,111751,NIPPON INDIA LOW DURATION FUND - RETAIL Plan - MONTHLY IDCW Option,1035.2685,14-10-2024
Nippon India Mutual Fund,Open Ended Schemes,Debt Scheme - Low Duration Fund,111752,NIPPON INDIA LOW DURATION FUND - RETAIL Plan - QUARTERLY IDCW Option,1018.8694,14-10-2024
Nippon India Mutual Fund,Open Ended Schemes,Debt Scheme - Low Duration Fund,111753,Nippon India Low Duration Fund- Growth Plan - Growth Option,3551.7207,14-10-2024
Nippon India Mutual Fund,Open Ended Schemes,Debt Scheme - Low Duration Fund,111754,NIPPON INDIA LOW DURATION FUND - WEEKLY IDCW Option,1012.7234,14-10-2024
Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Debt Scheme - Medium to Long Duration Fund,111777,Aditya Birla Sun Life Income Fund (Discipline Advantage Plan),30.0154,20-09-2024
DSP Mutual Fund,360 ONE Mutual Fund,Formerly Known as IIFL Mutual Fund,111786,DSP Strategic Bond Fund - Regular Plan - IDCW - Daily,1065.3938,14-10-2024
Taurus Mutual Fund,360 ONE Mutual Fund,Formerly Known as IIFL Mutual Fund,111787,Taurus Ethical Fund - Regular Plan - Growth,138.58,14-10-2024
