Code,Scheme Name,NAV,ISIN Div Payout,ISIN Growth,ISIN Div Reinvestment
134958,JM Large Cap Fund (Direct) - Annual IDCW,71.19890,INF192K01JU4INF192K01JV2,N/A,N/A
133407,JM Aggressive Hybrid Fund (Regular) - Annual Bonus Option - Principal Units,124.45260,INF192K01GZ9,N/A,N/A
,,N/A,,N/A,N/A
134881,LIC MF ULIS (10 Yrs. Regular Premium Uniform Cover Monthly)-Direct Plan-IDCW Reinvestment,38.40720,INF767K01DT8,N/A,N/A
,,N/A,,N/A,N/A
119606,Aditya Birla Sun Life Govenment Securities Fund -DIRECT - Quarterly IDCW,12.09050,INF209KA1LC4,N/A,N/A
100080,DSP Flexi Cap Fund - Regular Plan - IDCW,66.38100,INF740K01011INF740K01029,N/A,N/A
100174,quant ELSS Tax Saver Fund - IDCW Option - Regular Plan,49.93440,INF966L01119,N/A,N/A
100057,Aditya Birla Sun Life Govenment Securities Fund -Regular - Quarterly IDCW,11.38790,INF209K01AF6INF209K01DP9,N/A,N/A
,,N/A,,N/A,N/A
,,N/A,,N/A,N/A
130904,JM Aggressive Hybrid Fund (Direct) - Annual Bonus Option,137.05910,INF192K01HB8,N/A,N/A
148413,JM Liquid Fund - Unclaimed Brokerage I.E.F. (Direct) - Growth Plan,41.44370,,N/A,N/A
,,N/A,,N/A,N/A
,,N/A,,N/A,N/A
135977,LIC MF ULIS (10 Yrs. Regular Premium Uniform Cover Quarterly)-Direct Plan-IDCW Reinvestment,38.40720,INF767K01PB0,N/A,N/A
,,N/A,,N/A,N/A
119759,Kotak Gilt-Investment Regular-Growth - Direct,104.49570,INF174K01KE4,N/A,N/A
119068,HDFC Income Fund - Quarterly IDCW- Direct Plan,12.65390,INF179K01WJ7INF179K01WK5,N/A,N/A
,,N/A,,N/A,N/A
119569,Aditya Birla Sun Life Liquid Fund -Direct - daily IDCW,100.19500,INF209K01UZ2,N/A,N/A
134878,LIC MF ULIS (10 Yrs. Regular Premium Reducing Cover Half-Yearly)-Direct Plan-IDCW Reinvestment,38.40720,INF767K01DR2,N/A,N/A
135978,LIC MF ULIS (15 Yrs. Regular Premium Reducing Cover Quarterly)-Direct Plan-IDCW Reinvestment,38.40720,INF767K01OX7,N/A,N/A
,,N/A,,N/A,N/A
103820,DSP Equity Opportunities Fund-Regular Plan - IDCW,40.83300,INF740K01078INF740K01086,N/A,N/A
151988,LIC MF Medium to Long Duration Fund-Direct Plan-Quarterly IDCW,17.76110,INF397L01GA5,N/A,N/A
119077,DSP Flexi Cap Fund - Direct Plan - IDCW,95.07000,INF740K01PJ0INF740K01PK8,N/A,N/A
100087,DSP Savings Fund - Regular Plan - Growth,50.30470,INF740K01714,N/A,N/A
135982,LIC MF ULIS (15 Yrs. Regular Premium Uniform Cover Quarterly)-Regular Plan-IDCW Reinvestment,34.79390,INF767K01OW9,N/A,N/A
120484,JM Aggressive Hybrid Fund (Direct) - Growth Option,136.83850,INF192K01BQ9,N/A,N/A
134885,LIC MF ULIS (15 Yrs. Regular Premium Uniform Cover Half-Yearly)-Direct Plan-IDCW Reinvestment,38.40720,INF767K01EA6,N/A,N/A
134846,LIC MF ULIS (10 Yrs. Single Premium)-Regular Plan-IDCW Reinvestment,34.79390,INF767K01972,N/A,N/A
,,N/A,,N/A,N/A
134956,JM Large Cap Fund (Direct) - Monthly IDCW ,70.55400,INF192K01JJ7INF192K01JK5,N/A,N/A
119735,Kotak Bond Fund - Growth - Direct,81.76150,INF174K01JC0,N/A,N/A
119734,Kotak Bond Fund - Direct Plan - Standard IDCW option,27.21290,INF174K01JD8,N/A,N/A
120419,JM G-Sec Fund - (Direct) Bonus Option - Principal Units,32.67060,INF192K01CT1,N/A,N/A
120428,JM Medium to Long Duration Fund (Direct) - Bonus Option - Principal Units,28.01860,INF192K01CX3,N/A,N/A
112014,Aditya Birla Sun Life Liquid Fund- Discipline Advantage Plan,272.02640,INF209K01KZ3,N/A,N/A
100034,Aditya Birla Sun Life Equity Advantage Fund -Regular - IDCW,132.01000,INF209K01157INF209K01CE5,N/A,N/A
139259,JM Liquid Fund Unclaimed Redemption IEF (Direct) Growth Plan,41.44370,INF192K01LC8,N/A,N/A
119758,Kotak Gilt-Investment Regular-Payout of Income Distribution cum capital withdrawal option - Direct,23.59980,INF174K01KF1,N/A,N/A
119106,DSP Savings Fund - Direct Plan - Growth,51.76510,INF740K01NU2,N/A,N/A
134887,LIC MF ULIS (15 Yrs. Regular Premium Uniform Cover Monthly)-Direct Plan-IDCW Reinvestment,38.40720,INF767K01DZ5,N/A,N/A
120483,JM Aggressive Hybrid Fund (Direct) - IDCW,75.44210,INF192K01BO4INF192K01BP1,N/A,N/A
100081,DSP Equity & Bond Fund- Regular Plan - Growth,337.10300,INF740K01318,N/A,N/A
,,N/A,,N/A,N/A
120407,JM Liquid Fund (Direct) - Weekly IDCW,11.00810,INF192K01CI4INF192K01CJ2,N/A,N/A
120278,LIC MF Medium to Long Duration Fund-Direct Plan-IDCW,17.76100,INF767K01EV2INF767K01EX8,N/A,N/A
